Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
2;Pre - Osman;Süleyman Şah;Gazi;;;;;Erkek;n/a;n/a;n/a;Ulu;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Süleyman Şah;Gazi;;;;;Erkek;n/a;n/a;n/a;Bahâdur;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;n/a;;;;;n/a;n/a;n/a;n/a;İhtirâz;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Sunkur Tigin;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Küntogdı;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Ertoñrul;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Alâ'addîn;Sultan;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Bilecük;Tekür;;;;;Erkek;n/a;n/a;n/a;Mutî;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Karacahisâr;Tekür;;;;;Erkek;n/a;n/a;n/a;Mutî;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Sarı Yatu;Beg;;Ertuğrul'un Oğlu;Osman Gazi'nin Abisi;Bay Hoca, Süleyman Bey;Erkek;Sögüt Kışla;n/a;1;n/a;n/a;Evet;-;n/a;Ceng;;;;;;;;;;;;;;;
2;Pre - Osman;Alışıra;Beg;;;;;Erkek;n/a;n/a;n/a;Çavunur;Nötr;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Adâvet;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;Kafir;;;;;n/a;n/a;n/a;n/a;Müdâra;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;Kafir;;;;;n/a;n/a;n/a;n/a;Komşu;Olumlu;-;;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;n/a;;;;;n/a;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;n/a;;;;;n/a;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Nesl-i Celî;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
2;Pre - Osman;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Server;Olumlu;-;-;n/a;;;;;;;;;;;;;;;;
3;Osman Gazi;Aya Nikola;Kâfir;;;;;Erkek;n/a;n/a;n/a;Yağmacı;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
3;Osman Gazi;Bilecük;Tekür;;;;;Erkek;n/a;n/a;n/a;İ'timâd;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
3;Osman Gazi;Eynegöl;Kâfir;;;;;Erkek;n/a;n/a;n/a;Sakıncalı;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
3;Osman Gazi;Aratun;Martaloz;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
4;Osman Gazi;Edebalı;Şeyh;;;;;Erkek;n/a;n/a;n/a;Azîz;Olumlu;Evet;-;125;;;;;;;;;;;;;;;;
4;Osman Gazi;Edebalı;Şeyh;;Osman Gazi'nin Hocası;Osman Gazi'nin Kayınbabası;Mahmut Paşa, Mehmet Paşa, Bala Hatun;Erkek;Evlilik;n/a;1;Kerametli;Olumlu;Evet;-;125;;;;;;;;;;;;;;;;
4;Osman Gazi;Malhûn;Hatun;;;;;Kadın;n/a;n/a;n/a;Helal;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
4;Osman Gazi;Tururoglı;Derviş;;;;;Erkek;n/a;n/a;n/a;Mürid;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
4;Osman Gazi;Mahmut Paşa;Şeyh ;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;100+;;;;;;;;;;;;;;;;
5;Osman Gazi;Karacahisâr;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
5;Osman Gazi;Kalanoz kafiri;Kâfir;;;;;Erkek;n/a;n/a;n/a;İt;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
6;Osman Gazi;Karacahisar teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Yagı;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
6;Osman Gazi;Bayıcar;n/a;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
6;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Sa'âdet;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
7;Osman Gazi;n/a;Leşker;;;;;Erkek;n/a;n/a;n/a;Haya kesdiler;Olumsuz;-;Evet;n/a;Eziyet;;;;;;;;;;;;;;;
8;Osman Gazi;Aktemür;Beg;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
8;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Bezli;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
8;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Adli;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Gündüz;Gazi;;Ertuğrul Gazni'nin Oğlu;Osman Gazi'nin Kardeşi;;Erkek;Fetih Yöntemi;n/a;0;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Bilecük;Tekür;;;;;Erkek;n/a;n/a;n/a;Dostlık;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Köse Mihal;Beg;;;;;Erkek;n/a;n/a;n/a;Dostlık;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Ceng;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Adâvet;Olumsuz;-;;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Adil;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;n/a;Kâfir;;;;;n/a;n/a;n/a;n/a;Hidmetkar;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Köse Mihal;Gazi;;Osman Gazi'nin Silah Arkadaşı;Paleologos Hanedanı;Mihaloğulları;Erkek;Ceng Yönü;n/a;1;Kılaguz/vuz;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
