,Era,Sene,Yerin Adı,Niyet,Success,Ottoman leaders,Opponent leader,Method,isOpponentMuslim,lat,lon,Year,Name
0,Ertuğrul Gazi,,Söğüt,Alma,1,Ertuğrul Gāzi,Sultan Alaaddin,hediye,1.0,40.01590632366907,30.18315029832842,,Söğüt
1,Ertuğrul Gazi,,Domaniç Dağları,Alma,1,Ertuğrul Gāzi,Sultan Alaaddin,hediye,1.0,39.93443414598841,29.26139030361998,,Domaniç Dağları
2,Ertuğrul Gazi,,Ahi Dağı,Alma,1,Ertuğrul Gāzi,Sultan Alaaddin,hediye,1.0,39.99771828545624,29.899770418423326,,Ahi Dağı
3,Osman Gazi,,İnegöl,Alma,0,Osman Gāzi,,kılıç yoluyla,0.0,40.08151735196048,29.49220256460177,,İnegöl
4,Osman Gazi,685- M. 1286,Kulaca,Alma,1,Osman Gāzi,Karacahisar tekfuru,kılıç yoluyla,0.0,40.07706709329295,29.569028563336825,1286,Kulaca
5,Osman Gazi,685- M. 1286,İkizce,Alma,1,Osman Gāzi,Karacahisar tekfuru,kılıç yoluyla,0.0,39.72886272889311,29.312354989326213,1286,İkizce
6,Osman Gazi,687- M. 1288,Karacahisar,Alma,1,"Sultan Alaaddin, Osman Gazi",Karacahisar tekfuru,kılıç yoluyla,0.0,39.73890356993027,30.445420611171663,1288,Karacahisar
7,Osman Gazi,687- M. 1288,Ereğli ,Alma,1,"Sultan Alaaddin, Osman Gazi",Tatarlar,kılıç yoluyla,0.0,40.71659201433224,29.81938347700628,1288,Ereğli 
8,Osman Gazi,,Mudurnu,Alma,1,Mihal,,kılıç yoluyla,0.0,40.46315568482936,31.222106443016344,,Mudurnu
9,Osman Gazi,,Göynük,Alma,0,Mihal,,kılıç yoluyla,0.0,40.4034439946423,30.785568565907862,,Göynük
10,Osman Gazi,,Taraklı,Alma,0,Mihal,,kılıç yoluyla,0.0,40.39648387205333,30.492019236945,,Taraklı
11,Osman Gazi,,İnegöl,Alma,1,Osman Gāzi,İnegöl tekfuru,kılıç yoluyla,0.0,40.08151735196048,29.49220256460177,,İnegöl
12,Osman Gazi,699-M. 1299/1300,Bilecik,Alma,1,Osman Gāzi,Bilecük tekfuru,kılıç yoluyla,0.0,40.1425011484395,29.977979034896084,1300,Bilecik
13,Osman Gazi,699-M. 1299/1300,Yarhisar,Alma,1,Osman Gāzi,Yarhisar tekfuru,kılıç yoluyla,0.0,40.18402697618692,29.73114444175696,1300,Yarhisar
14,Osman Gazi,,Köprühisar,Alma,1,Osman Gāzi,Köprühisar tekfuru,kılıç yoluyla,0.0,40.2786440097259,29.78601166853124,,Köprühisar
15,Osman Gazi,,Dimbos,Savunma,1,Osman Gāzi,Kite tekfuru,kılıç yoluyla,0.0,40.25750017176652,29.48231513752241,,Dimbos
16,Osman Gazi,,Kite,Alma,1,Osman Gāzi,Kite tekfuru,kılıç yoluyla,0.0,40.25750017176652,29.48231513752241,,Kite
17,Osman Gazi,,Daranos,Alma,1,Osman Gāzi,Daranos tekfuru,kılıç yoluyla,0.0,40.36326767923399,30.03368903565348,,Daranos
18,Osman Gazi,,Bursa,Alma,0,Osman Gāzi,Baras tekfuru,kılıç yoluyla,0.0,40.1836782223977,29.0499149004772,,Bursa
19,Osman Gazi,704- M.1305,Mekece,Alma,1,Osman Gāzi,Mekece tekfuru,teslim ile,0.0,40.45438366388553,30.051290582264407,1305,Mekece
20,Osman Gazi,704- M.1305,Leblebici Kalesi,Alma,1,Osman Gāzi,Leblebici tekfuru,teslim ile,0.0,40.283744832980254,30.31524566035172,1305,Leblebici Kalesi
21,Osman Gazi,704- M.1305,Osmaneli,Alma,1,Osman Gāzi,Lefke tekfuru,teslim ile,0.0,40.35942707150084,30.01544448798293,1305,Osmaneli
22,Osman Gazi,704- M.1305,Çadırlı,Alma,1,Osman Gāzi,Çadırlı tekfuru,teslim ile,0.0,40.348708718560445,30.032207909873247,1305,Çadırlı
23,Osman Gazi,704- M.1305,Palangatepe Höyük,Alma,1,Osman Gāzi,Akhisar tekfuru,kılıç yoluyla,0.0,40.5059388133953,30.16986431280385,1305,Palangatepe Höyük
24,Osman Gazi,704- M.1305,Geyve,Alma,1,Osman Gāzi,Gevye tekfuru,teslim ile,0.0,40.53209454880711,30.292005175864567,1305,Geyve
25,Osman Gazi,704- M.1305,Umurbey,Alma,1,Osman Gāzi,,kılıç yoluyla,0.0,40.46729510038342,30.25974173694391,1305,Umurbey
26,Osman Gazi,,Karaçepüş Kalesi,Alma,1,Orhan Bey,Karaçepüş tekfuru,kılıç yoluyla,0.0,40.61829150376778,30.35438806720128,,Karaçepüş Kalesi
27,Osman Gazi,,Düzce,Alma,1,Orhan Bey,,kılıç yoluyla,0.0,40.84202255280148,31.169909657007388,,Düzce
28,Osman Gazi,,Adliye Kale,Alma,1,Orhan Bey,,teslim ile,0.0,40.49301861403456,29.940445643979302,,Adliye Kale
29,Osman Gazi,,Karatekin Kalesi,Alma,1,Orhan Gazi,,kılıç yoluyla,0.0,40.43927541864195,29.87967809526352,,Karatekin Kalesi
30,Osman Gazi,726-M. 1326,Orhaneli,Alma,1,"Konuralp, Gazi Abdurrahman, Köse Mihal, Akçakoca",Atranoz tekfuru,kılıç yoluyla,0.0,39.95198890247487,28.985885944700527,1326,Orhaneli
31,Osman Gazi,726-M. 1326,Bursa,Alma,1,"Mihal, Orhan Gāzi",Bursa tekfuru,teslim ile,0.0,40.21163133688983,29.03434071965812,1326,Bursa
32,Osman Gazi,,Akyazı,Alma,1,Konur Alp,,kılıç yoluyla,0.0,40.70745480302764,30.623068951721308,,Akyazı
33,Osman Gazi,,Melen Çayı Vadisi,Alma,1,Konur Alp,,kılıç yoluyla,0.0,40.91398008750898,31.14683178566888,,Melen Çayı Vadisi
34,Osman Gazi,,Mudurnu,Alma,1,Konur Alp,,kılıç yoluyla,0.0,40.46315568482936,31.222106443016344,,Mudurnu
35,Osman Gazi,,Bolu,Alma,1,Konur Alp,,kılıç yoluyla,0.0,40.76124976826167,31.616314856215823,,Bolu
36,Osman Gazi,,Semendire,Alma,1,Gaziler,Samandıra tekfuru,kılıç yoluyla,0.0,40.99569903588193,29.22779721667578,,Semendire
37,Osman Gazi,,Aydos Kalesi,Alma,1,"Gazi Rahman, Akçakoca",Aydos tekfuru,kılıç yoluyla,0.0,40.94103320840423,29.259406571012114,,Aydos Kalesi
38,Orhan Gazi,,Yalak Ovası,Alma,1,Orhan Gazi,Yalakonya,teslim ile,0.0,40.71903411859681,29.82305049316608,,Yalak Ovası
39,Orhan Gazi,,Koyunhisar,Alma,1,Orhan Gazi,Yalakonya,kılıç yoluyla,0.0,40.72966118798721,29.806855867059323,,Koyunhisar
40,Orhan Gazi,,İzmit,Alma,1,Orhan Gazi,,teslim ile,0.0,40.798705740338455,29.937571936120325,,İzmit
41,Orhan Gazi,,Ermeni Pazarı,Alma,1,Orhan Gazi,,teslim ile,0.0,39.99771828545624,29.899770418423326,,Ermeni Pazarı
42,Orhan Gazi,,Kandıra,Alma,1,Orhan Gazi,,teslim ile,0.0,41.0708384863549,30.15112020486916,,Kandıra
43,Orhan Gazi,,Kocaeli,Alma,1,Orhan Gazi,,teslim ile,0.0,41.01954001618392,29.849077563399195,,Kocaeli
44,Orhan Gazi,731- M. 1331,İznik,Alma,1,Orhan Gazi,İznik tekfuru,pes ettirme,0.0,40.42796512386861,29.718534064564235,1331,İznik
45,Orhan Gazi,,Taraklı,Alma,1,Orhan Gazi,,teslim ile,0.0,40.39648387205333,30.492019236945,,Taraklı
46,Orhan Gazi,,Göynük,Alma,1,Orhan Gazi,,teslim ile,0.0,40.40334582959421,30.78586895502526,,Göynük
47,Orhan Gazi,,Uluabat,Alma,1,Orhan Gazi,Ulubat tekfuru,kılıç yoluyla,0.0,40.21065572865336,28.43163856789109,,Uluabat
48,Orhan Gazi,,Balyoz,Alma,1,Orhan Gazi,,kılıç yoluyla,0.0,40.11110154252744,28.643530540020954,,Balyoz
49,Orhan Gazi,,Apollonia,Alma,1,Orhan Gazi,,kılıç yoluyla,0.0,40.17380208347876,28.584126537625973,,Apollonia
50,Orhan Gazi,,Mustafakemalpaşa,Alma,1,Orhan Gazi,Kalemestorya,teslim ile,0.0,40.038457569683054,28.41169894944826,,Mustafakemalpaşa
51,Orhan Gazi,735- M. 1334/1335,Balıkesir,Alma,1,Orhan Gazi,,kılıç yoluyla,0.0,39.653632692184615,27.891125341111845,1335,Balıkesir
52,Orhan Gazi,758- M. 1357,Çimpe Kalesi,Alma,1,Süleyman Paşa,,kılıç yoluyla,0.0,40.91623612406487,26.85060699441548,1357,Çimpe Kalesi
53,Orhan Gazi,758- M. 1357,Ayaşolonya,Alma,1,Süleyman Paşa,,kılıç yoluyla,0.0,40.49751374789557,26.738190909928647,1357,Ayaşolonya
54,Orhan Gazi,758- M. 1357,Gelibolu,Alma,1,Süleyman Paşa,,kılıç yoluyla,0.0,40.43103705075337,26.67217810168033,1357,Gelibolu
55,Orhan Gazi,,Tekirdağ,Alma,1,Süleyman Paşa,,kılıç yoluyla,0.0,40.9767790119275,27.511026696178003,,Tekirdağ
56,Orhan Gazi,,Şarköy,Alma,1,Süleyman Paşa,Kalakonya,kılıç yoluyla,0.0,40.6153810010494,27.11227233318006,,Şarköy
57,Murad Han Gazi,,Banatoz,Alma,1,Murad Han Gazi,,teslim ile,0.0,40.90005474353528,27.44966648446289,,Banatoz
58,Murad Han Gazi,,Çorlu Kalesi,Alma,1,Murad Han Gazi,,kılıç yoluyla,0.0,41.20351583033919,27.79644599891704,,Çorlu Kalesi
59,Murad Han Gazi,,Çatalca Kalesi,Alma,1,Murad Han Gazi,,teslim ile,0.0,41.14456753188904,28.45791037168669,,Çatalca Kalesi
60,Murad Han Gazi,,Dimetoka,Alma,1,Hacı İlbey,Dimetoka tekfuru,kılıç yoluyla,0.0,41.35352369105706,26.49946072086719,,Dimetoka
61,Murad Han Gazi,,Keşan,Alma,1,Gazi Evrenez,,kılıç yoluyla,0.0,40.85875920845031,26.62951378292044,,Keşan
62,Murad Han Gazi,,İpsala,,0,Gazi Evrenez,,kılıç yoluyla,0.0,40.92180827299282,26.381458300000705,,İpsala
63,Murad Han Gazi,761- M. 1360/1361,Edirne,Alma,1,"Lala Şahin, Murad Han Gazi",Edirne tekfuru,kılıç yoluyla,0.0,40.75872847765076,26.18022048675348,1361,Edirne
64,Murad Han Gazi,,Eski Zağra,Alma,1,Lala Şahin ,,kılıç yoluyla,0.0,42.478921729903824,25.64267341856857,,Eski Zağra
65,Murad Han Gazi,,Filibe,Alma,1,Lala Şahin ,,kılıç yoluyla,0.0,42.18075238779866,24.74847033482586,,Filibe
66,Murad Han Gazi,,İpsala,Alma,1,Evrenoz Gazi,,kılıç yoluyla,0.0,40.94510142475559,26.39042818389776,,İpsala
67,Murad Han Gazi,,Eski Zağra,Alma,1,Lala Şahin ,,kılıç yoluyla,0.0,42.988838505342464,25.73307206485668,,Eski Zağra
68,Murad Han Gazi,,Gümülcine,Alma,1,Evrenoz Gazi,,kılıç yoluyla,0.0,41.15103153414059,25.3997557383813,,Gümülcine
69,Murad Han Gazi,766- M. 1364/1365,Biga,Alma,1,Murad Han Gazi,,kılıç yoluyla,0.0,40.23550476979398,27.24386058968765,1365,Biga
70,Murad Han Gazi,,Edirne,Savunma,1,Lala Şahin ,,kılıç yoluyla,0.0,41.70170015752922,26.55879236448965,,Edirne
71,Murad Han Gazi,783- M. 1381,Kütahya,Alma,1,Murad Han Gazi,Germiyanoğlu,hediye,1.0,39.436828361196,29.98735101446477,1381,Kütahya
72,Murad Han Gazi,783- M. 1381,Simav,Alma,1,Murad Han Gazi,Germiyanoğlu,hediye,1.0,39.10747612441083,28.982237647283963,1381,Simav
73,Murad Han Gazi,783- M. 1381,Eğrigöz,Alma,1,Murad Han Gazi,Germiyanoğlu,hediye,1.0,39.36162729127132,29.08431027313961,1381,Eğrigöz
74,Murad Han Gazi,783- M. 1381,Tavşanlı,Alma,1,Murad Han Gazi,Germiyanoğlu,hediye,1.0,39.572433339236746,29.49185660994605,1381,Tavşanlı
75,Murad Han Gazi,783/784- M. 1381-1382,Akşehir,Alma,1,Murad Han Gazi,Hamidoğlu Hüseyin Bey,satın alma,1.0,38.362451260849326,31.428382320561624,1382,Akşehir
76,Murad Han Gazi,783/784- M. 1381-1382,Beyşehir,Alma,1,Murad Han Gazi,Hamidoğlu Hüseyin Bey,satın alma,1.0,37.69692381564792,31.72001023792645,1382,Beyşehir
